elevation_meters,elevation_factor,rain_intensity_mm_hr,cumulative_rainfall_3h_mm,soil_saturation_percent,drainage_capacity_m3s,drainage_saturation_percent,current_water_level_cm,water_level_rise_rate_10m,future_water_level_15m_cm,future_water_level_30m_cm,future_water_level_60m_cm,is_anomaly,risk_class,risk_label
549.7,0.821,6.7,33.7,44.7,12.9,40.6,22.6,0.13,22.3,23.2,22.5,0,2,HIGH
575.6,0.219,17.0,49.1,57.1,24.6,69.1,20.9,0.26,21.2,21.0,22.9,0,1,MODERATE
581.4,0.084,22.7,74.4,60.3,22.5,100.0,25.9,3.39,31.0,36.6,46.6,0,3,CRITICAL
564.9,0.467,5.7,13.1,39.4,20.2,19.5,13.2,-0.06,13.3,13.8,13.4,0,1,MODERATE
579.3,0.133,9.6,38.7,53.9,15.0,60.4,17.4,-0.19,17.3,16.2,17.7,0,1,MODERATE
549.6,0.823,2.3,39.6,45.2,12.7,14.3,14.6,-0.08,14.4,13.6,15.3,0,1,MODERATE
568.3,0.388,3.6,15.3,46.7,20.3,14.5,10.7,0.18,11.3,11.9,10.7,0,0,LOW
582.4,0.06,20.6,78.8,70.9,11.5,100.0,26.2,2.69,30.4,35.1,40.7,0,3,CRITICAL
574.7,0.24,3.6,45.8,46.5,24.2,12.1,6.2,0.25,6.2,7.8,6.6,0,0,LOW
571.9,0.305,13.4,47.8,57.6,11.5,100.0,31.8,3.74,37.0,43.4,53.0,0,3,CRITICAL
543.1,0.974,22.2,70.3,74.3,24.2,100.0,38.0,4.74,44.9,52.2,66.1,0,3,CRITICAL
577.5,0.174,2.0,10.9,38.0,11.8,11.3,7.0,-0.05,7.0,7.7,5.3,0,0,LOW
562.7,0.519,15.1,31.7,46.3,20.6,59.4,22.6,0.06,22.2,23.5,21.9,0,2,HIGH
555.2,0.693,5.3,27.3,40.2,14.9,25.0,13.2,0.14,13.3,14.4,15.2,0,1,MODERATE
562.5,0.523,59.3,172.4,100.0,16.4,100.0,34.4,6.62,44.8,53.8,74.0,0,3,CRITICAL
572.0,0.302,11.9,30.9,54.5,21.9,51.8,14.8,0.05,14.8,15.2,16.7,0,1,MODERATE
547.2,0.879,29.5,82.2,62.3,21.0,100.0,34.3,5.77,42.7,50.9,69.0,0,3,CRITICAL
564.7,0.472,14.4,50.9,48.7,12.1,100.0,30.7,4.05,37.1,42.7,52.6,0,3,CRITICAL
556.0,0.674,0.8,22.2,46.9,16.7,3.9,9.7,-0.2,9.1,9.1,8.0,0,0,LOW
556.5,0.663,18.1,69.9,65.8,15.1,100.0,34.5,5.05,42.4,49.3,64.6,0,3,CRITICAL
568.4,0.386,54.4,85.9,82.1,23.7,100.0,33.4,7.04,43.9,54.2,72.9,0,3,CRITICAL
578.6,0.149,16.6,45.1,58.6,15.6,100.0,26.2,3.17,30.7,36.6,43.3,0,3,CRITICAL
579.7,0.123,30.8,113.6,92.8,23.0,100.0,24.9,3.28,29.7,33.8,42.9,0,2,HIGH
569.2,0.367,38.8,88.3,66.2,14.5,100.0,32.5,5.31,40.3,48.6,65.1,0,3,CRITICAL
563.1,0.509,4.7,43.4,61.5,13.3,38.0,16.3,0.08,16.4,17.4,17.3,0,1,MODERATE
548.4,0.851,4.3,19.9,40.3,21.1,14.4,12.8,-0.09,12.4,13.4,12.4,0,1,MODERATE
576.6,0.195,17.0,46.8,59.7,21.1,84.2,22.5,2.44,25.9,29.1,37.9,0,2,HIGH
542.3,0.993,9.5,19.7,37.4,10.1,61.6,25.9,-0.06,25.6,25.0,26.3,0,2,HIGH
561.9,0.537,33.0,47.5,53.2,17.8,100.0,30.0,5.17,38.0,46.3,59.9,0,3,CRITICAL
555.8,0.679,41.5,113.9,89.5,17.3,100.0,33.4,6.81,44.1,53.5,73.3,0,3,CRITICAL
564.0,0.488,7.8,45.8,52.0,23.5,30.2,14.7,0.19,14.9,15.4,14.7,0,1,MODERATE
560.9,0.56,4.9,25.6,34.1,20.3,14.4,9.5,0.17,10.0,10.9,11.0,0,0,LOW
583.6,0.033,27.3,111.6,82.3,12.6,100.0,26.9,3.62,32.4,38.2,49.3,0,3,CRITICAL
583.1,0.044,5.8,45.7,56.0,18.8,30.2,9.9,-0.14,9.7,9.0,7.9,0,0,LOW
570.1,0.347,31.1,82.1,72.6,23.4,100.0,28.4,4.69,35.2,42.3,55.6,0,3,CRITICAL
569.7,0.356,9.9,58.9,53.8,22.1,42.2,14.6,0.36,15.2,15.2,15.8,0,1,MODERATE
576.9,0.188,19.8,72.8,70.9,12.7,100.0,27.9,3.79,33.9,39.1,48.8,0,3,CRITICAL
549.5,0.826,1.8,4.6,27.2,23.5,3.6,11.6,-0.05,11.5,10.7,11.3,0,0,LOW
580.5,0.105,17.6,53.5,57.9,23.7,75.2,19.5,2.39,23.4,27.2,31.9,0,2,HIGH
576.1,0.207,10.8,51.4,63.0,18.2,65.4,17.9,0.35,18.2,19.1,20.3,0,1,MODERATE
582.4,0.06,15.9,62.3,61.3,18.5,92.2,23.9,2.24,27.5,31.0,36.4,0,2,HIGH
564.1,0.486,3.3,30.4,43.1,10.9,22.8,14.6,0.12,15.3,15.5,14.2,0,1,MODERATE
554.0,0.721,24.0,77.3,71.6,22.2,100.0,36.8,5.08,44.0,51.2,67.5,0,3,CRITICAL
549.0,0.837,35.8,84.1,80.0,23.0,100.0,33.2,5.68,41.8,50.8,67.0,0,3,CRITICAL
567.2,0.414,4.4,8.7,30.4,17.2,13.6,10.3,0.13,10.2,10.9,10.0,0,0,LOW
542.2,0.995,1.8,22.2,35.3,18.9,5.9,12.0,0.22,12.0,11.8,12.0,0,0,LOW
548.5,0.849,0.4,5.3,36.4,20.5,1.2,11.2,-0.11,11.2,10.0,10.9,0,0,LOW
574.1,0.253,18.5,29.3,42.7,11.9,100.0,27.1,2.8,31.5,35.4,44.1,0,3,CRITICAL
570.5,0.337,16.8,75.4,76.3,13.0,100.0,30.8,3.78,36.0,42.3,52.5,0,3,CRITICAL
556.5,0.663,14.2,55.6,56.9,23.2,60.9,26.0,0.35,26.1,27.6,27.2,0,2,HIGH
546.3,0.9,4.8,39.5,53.4,19.4,23.1,15.4,-0.1,14.8,15.4,16.6,0,1,MODERATE
548.5,0.849,8.9,19.9,46.7,18.9,38.5,22.0,-0.0,22.5,22.4,23.2,0,2,HIGH
544.8,0.935,16.2,64.9,68.6,13.2,100.0,38.2,5.03,45.4,53.7,67.4,0,3,CRITICAL
542.7,0.984,12.4,55.6,50.2,14.1,77.3,31.7,4.49,38.3,44.9,57.0,0,3,CRITICAL
581.7,0.077,79.3,123.1,100.0,23.3,100.0,28.6,7.07,39.7,50.7,69.3,0,3,CRITICAL
557.6,0.637,2.6,13.0,36.4,10.9,15.2,13.0,-0.31,12.8,13.0,11.0,0,1,MODERATE
579.1,0.137,21.4,35.6,40.3,14.2,100.0,28.5,3.91,34.2,39.8,52.5,0,3,CRITICAL
577.6,0.172,9.3,47.0,47.9,20.7,37.7,11.2,-0.06,10.7,11.3,12.3,0,0,LOW
559.4,0.595,10.1,56.7,61.1,15.5,69.7,27.9,-0.01,27.4,27.8,28.5,0,2,HIGH
584.9,0.002,22.8,57.9,52.4,13.7,100.0,25.9,2.49,30.0,32.9,40.1,0,2,HIGH
546.8,0.888,21.2,75.0,73.4,17.7,100.0,33.9,4.46,41.0,47.9,60.0,0,3,CRITICAL
546.3,0.9,85.3,187.3,100.0,12.4,100.0,36.9,10.39,52.5,68.7,97.8,0,3,CRITICAL
561.3,0.551,2.5,4.8,36.8,24.6,6.5,10.5,-0.07,10.1,9.4,9.9,0,0,LOW
552.6,0.753,2.0,13.0,28.1,10.7,9.2,14.6,-0.14,14.4,13.7,13.1,0,1,MODERATE
576.4,0.2,23.2,62.5,51.7,18.5,100.0,26.5,3.65,32.0,37.2,47.4,0,3,CRITICAL
560.5,0.57,15.5,26.1,35.5,10.1,95.3,29.9,4.17,36.5,41.8,53.7,0,3,CRITICAL
577.4,0.177,5.8,33.1,41.6,16.6,25.4,8.8,0.21,8.7,9.6,10.1,0,0,LOW
577.7,0.17,1.5,22.5,31.9,24.7,3.4,3.3,-0.11,2.9,2.6,3.0,0,0,LOW
574.5,0.244,1.6,6.0,34.8,20.0,4.9,3.0,-0.22,2.2,2.7,2.0,0,0,LOW
565.4,0.456,40.4,112.1,90.3,21.4,100.0,33.6,5.82,42.1,50.1,66.5,0,3,CRITICAL
584.9,0.002,3.8,36.3,39.0,19.2,13.5,4.4,0.16,4.4,5.5,6.5,0,0,LOW
582.0,0.07,7.0,37.1,58.3,19.6,36.4,11.8,-0.14,11.7,11.8,12.1,0,0,LOW
558.4,0.619,4.6,21.3,38.9,15.7,19.9,11.0,-0.18,10.5,9.6,9.9,0,0,LOW
553.4,0.735,7.9,19.4,36.1,12.7,39.3,21.1,0.34,21.8,22.3,23.4,0,2,HIGH
581.2,0.088,1.3,21.5,31.0,20.7,3.4,5.4,-0.27,4.9,5.6,4.4,0,0,LOW
543.1,0.974,13.2,46.3,59.5,18.1,75.9,29.7,4.13,35.4,41.4,54.2,0,3,CRITICAL
543.2,0.972,1.3,28.3,36.1,24.0,3.4,16.1,0.19,16.7,16.1,17.9,0,1,MODERATE
574.3,0.249,29.0,85.1,80.2,21.7,100.0,28.7,3.66,33.8,40.6,51.6,0,3,CRITICAL
573.4,0.27,4.8,34.9,56.7,23.9,19.9,9.3,0.19,9.9,10.8,11.9,0,0,LOW
580.4,0.107,14.0,29.1,49.7,16.8,72.5,22.7,0.09,22.8,23.8,23.5,0,2,HIGH
560.9,0.56,38.2,94.3,67.4,12.6,100.0,34.6,5.35,42.2,50.6,65.5,0,3,CRITICAL
546.0,0.907,18.9,81.8,68.5,11.3,100.0,37.5,4.42,44.3,49.9,61.9,0,3,CRITICAL
580.3,0.109,13.7,54.8,63.2,19.0,79.7,21.8,3.22,26.3,31.9,40.1,0,2,HIGH
582.6,0.056,7.1,50.1,58.3,10.8,67.1,15.7,-0.05,15.8,15.1,16.5,0,1,MODERATE
576.0,0.209,7.3,27.9,34.8,23.5,18.9,9.1,-0.15,8.7,9.4,8.9,0,0,LOW
566.0,0.442,19.9,49.6,46.9,24.0,68.1,23.8,0.51,24.7,25.6,25.6,0,2,HIGH
569.5,0.36,92.5,279.0,100.0,14.2,100.0,31.0,9.38,44.8,58.7,85.8,0,3,CRITICAL
543.1,0.974,19.5,50.0,46.3,10.2,100.0,38.1,4.65,44.7,53.0,64.6,0,3,CRITICAL
574.7,0.24,14.7,53.3,57.5,11.9,100.0,28.9,3.14,33.9,37.8,47.2,0,3,CRITICAL
564.9,0.467,23.6,71.8,73.5,12.1,100.0,30.2,4.28,37.1,43.5,54.8,0,3,CRITICAL
566.8,0.423,11.3,46.2,44.4,14.5,60.6,19.5,0.32,20.1,21.0,22.2,0,1,MODERATE
557.4,0.642,1.1,26.6,49.6,25.0,3.8,11.9,0.05,11.6,11.5,13.0,0,0,LOW
580.5,0.105,14.9,65.3,53.5,13.8,100.0,27.6,2.1,30.6,34.6,38.1,0,2,HIGH
549.1,0.835,56.9,161.9,100.0,12.2,100.0,33.8,7.29,44.6,54.7,75.0,0,3,CRITICAL
554.4,0.712,3.5,27.0,41.5,10.9,23.3,16.9,-0.04,17.3,17.3,17.6,0,1,MODERATE
547.5,0.872,21.1,55.6,62.9,19.5,100.0,36.7,5.8,45.6,54.8,70.2,0,3,CRITICAL
565.7,0.449,4.0,8.6,29.7,17.8,11.7,12.3,0.15,12.9,13.0,14.7,0,1,MODERATE
568.9,0.374,13.8,59.3,62.0,18.1,82.7,28.0,2.91,32.8,36.5,45.3,0,3,CRITICAL
560.9,0.56,1.8,20.1,36.3,23.4,4.9,6.5,-0.16,6.0,5.6,6.1,0,0,LOW
546.8,0.888,10.8,52.5,59.8,10.9,100.0,37.8,4.3,44.1,51.1,62.3,0,3,CRITICAL
571.9,0.305,25.4,47.6,45.4,20.2,99.9,27.0,4.54,33.8,41.2,54.4,0,3,CRITICAL
550.9,0.793,7.7,29.5,48.9,11.9,55.4,24.5,-0.09,24.2,23.3,23.9,0,2,HIGH
544.1,0.951,19.7,68.4,60.2,12.0,100.0,37.6,5.32,45.3,53.1,68.0,0,3,CRITICAL
558.1,0.626,28.6,105.3,87.5,18.4,100.0,33.1,5.1,40.3,49.0,61.8,0,3,CRITICAL
542.6,0.986,47.2,128.8,92.9,15.5,100.0,39.4,7.25,50.7,61.3,82.5,0,3,CRITICAL
555.3,0.691,4.8,17.0,44.1,22.1,16.8,10.7,-0.23,10.7,9.7,10.4,0,0,LOW
579.7,0.123,9.2,56.7,52.0,16.3,51.4,16.5,-0.18,16.1,15.6,15.8,0,1,MODERATE
551.8,0.772,3.0,31.6,49.3,12.4,20.9,13.6,-0.24,13.0,13.8,13.3,0,1,MODERATE
560.4,0.572,88.0,257.5,100.0,16.0,100.0,34.4,9.89,49.1,63.3,90.6,0,3,CRITICAL
572.5,0.291,47.1,78.9,78.9,17.6,100.0,32.2,5.79,40.9,49.3,64.2,0,3,CRITICAL
574.7,0.24,14.0,39.3,49.1,17.7,68.0,20.3,0.31,21.3,20.5,23.4,0,1,MODERATE
549.4,0.828,33.2,109.1,83.4,21.8,100.0,33.0,6.43,42.6,53.3,70.0,0,3,CRITICAL
553.3,0.737,13.2,51.8,47.4,21.0,52.1,25.4,-0.1,25.3,24.6,25.8,0,2,HIGH
562.6,0.521,17.6,41.4,52.5,15.8,100.0,33.8,3.28,38.8,44.6,53.3,0,3,CRITICAL
557.8,0.633,1.7,23.3,37.8,11.9,9.4,11.3,0.08,11.4,12.3,11.3,0,0,LOW
574.4,0.247,25.3,70.7,68.9,16.4,100.0,27.8,3.69,33.5,38.5,47.9,0,3,CRITICAL
550.5,0.802,2.5,11.0,44.4,12.3,15.8,15.9,-0.08,16.0,15.9,16.3,0,1,MODERATE
584.0,0.023,31.5,97.0,84.8,11.3,100.0,25.9,4.24,32.5,38.1,49.7,0,3,CRITICAL
569.6,0.358,27.4,85.0,63.1,23.0,100.0,30.6,4.16,36.5,42.2,54.6,0,3,CRITICAL
572.7,0.286,22.2,52.3,63.1,19.1,100.0,28.8,3.36,33.4,38.5,48.8,0,3,CRITICAL
543.4,0.967,0.7,33.2,41.2,20.8,2.4,13.2,-0.3,12.9,11.8,12.7,0,0,LOW
579.9,0.119,6.5,42.2,58.4,21.8,30.5,11.5,0.04,11.8,11.4,11.6,0,0,LOW
554.3,0.714,5.5,48.3,51.1,12.6,39.0,17.8,0.26,18.6,18.1,19.0,0,1,MODERATE
577.5,0.174,8.0,33.7,44.1,11.0,56.1,17.7,-0.11,17.7,17.5,15.3,0,1,MODERATE
571.5,0.314,1.7,36.1,51.4,13.6,11.2,8.1,-0.28,7.6,7.3,7.1,0,0,LOW
579.6,0.126,49.8,150.5,100.0,16.4,100.0,28.0,5.57,36.0,45.5,61.0,0,3,CRITICAL
544.6,0.94,14.5,53.0,58.1,12.0,100.0,37.2,4.42,43.8,49.7,62.4,0,3,CRITICAL
543.6,0.963,6.6,38.0,51.0,21.2,27.8,18.8,-0.12,18.4,19.2,19.3,0,1,MODERATE
569.9,0.351,9.1,26.1,37.8,18.5,32.5,11.0,0.37,12.0,12.4,13.1,0,0,LOW
558.9,0.607,10.7,64.6,63.6,24.8,48.0,20.4,0.12,20.1,20.9,22.6,0,1,MODERATE
549.2,0.833,16.5,55.6,48.1,13.5,100.0,38.3,3.93,44.4,49.9,60.9,0,3,CRITICAL
546.9,0.886,13.1,55.1,60.2,20.1,68.7,29.2,0.34,29.7,30.0,29.4,0,2,HIGH
545.6,0.916,45.3,90.7,81.3,14.3,100.0,39.5,6.77,49.7,60.7,79.3,0,3,CRITICAL
569.6,0.358,12.4,37.0,39.4,17.2,49.7,17.2,0.3,18.0,18.4,17.8,0,1,MODERATE
555.3,0.691,87.3,249.3,100.0,21.9,100.0,31.5,9.51,46.0,59.1,87.9,0,3,CRITICAL
559.4,0.595,34.3,66.0,69.3,24.2,100.0,35.9,5.61,44.3,51.9,66.7,0,3,CRITICAL
571.6,0.312,4.2,46.9,56.8,16.3,25.6,8.7,-0.31,8.4,8.6,6.2,0,0,LOW
545.7,0.914,48.0,98.2,89.0,13.4,100.0,35.7,7.84,47.5,58.4,81.6,0,3,CRITICAL
581.7,0.077,2.2,35.6,47.2,17.8,10.2,3.0,0.11,3.4,3.2,3.8,0,0,LOW
554.7,0.705,30.6,65.0,63.8,19.3,100.0,32.4,5.62,41.1,49.3,65.1,0,3,CRITICAL
566.0,0.442,8.6,42.9,43.8,17.9,36.8,16.6,0.16,17.1,16.2,15.8,0,1,MODERATE
576.5,0.198,37.9,86.0,79.9,18.5,100.0,30.8,4.06,37.0,42.2,55.9,0,3,CRITICAL
547.7,0.867,36.5,125.8,90.1,22.7,100.0,37.2,6.45,47.2,55.9,72.9,0,3,CRITICAL
584.0,0.023,29.5,61.7,69.7,23.5,100.0,25.5,3.13,29.8,34.8,43.1,0,2,HIGH
555.5,0.686,28.1,95.2,76.7,20.6,100.0,35.3,4.67,42.1,49.5,63.4,0,3,CRITICAL
546.2,0.902,6.5,48.2,55.1,14.2,44.1,23.5,0.09,24.1,23.6,22.9,0,2,HIGH
548.1,0.858,1.5,17.4,40.5,16.7,6.4,14.8,0.16,15.5,14.8,16.6,0,1,MODERATE
553.5,0.733,9.3,46.1,50.0,14.4,56.5,23.8,0.29,24.1,25.2,24.1,0,2,HIGH
578.3,0.156,3.4,38.6,46.6,22.5,12.3,7.2,-0.32,7.0,5.4,5.0,0,0,LOW
581.8,0.074,21.4,72.8,75.4,16.9,100.0,25.2,2.6,29.4,32.9,39.1,0,2,HIGH
549.0,0.837,7.6,29.1,49.0,21.8,29.9,15.6,-0.19,15.3,15.9,15.6,0,1,MODERATE
549.9,0.816,66.8,182.5,100.0,12.0,100.0,35.3,8.47,48.4,61.6,85.5,0,3,CRITICAL
558.0,0.628,18.4,38.6,46.3,18.4,81.0,30.0,4.96,37.0,45.0,60.5,0,3,CRITICAL
568.2,0.391,31.1,114.7,79.5,22.2,100.0,28.2,4.24,34.1,41.7,53.7,0,3,CRITICAL
551.8,0.772,2.6,38.3,40.2,18.5,9.9,10.9,-0.33,10.0,9.8,8.3,0,0,LOW
542.6,0.986,35.7,107.8,87.9,24.8,100.0,35.4,6.58,45.6,55.3,72.9,0,3,CRITICAL
554.6,0.707,46.1,120.8,91.7,17.0,100.0,35.0,6.82,45.6,55.3,73.2,0,3,CRITICAL
553.1,0.742,12.0,63.4,60.0,21.0,60.0,27.7,0.32,28.2,27.9,29.5,0,2,HIGH
576.6,0.195,16.8,45.3,60.7,20.9,85.4,22.1,2.72,25.7,30.0,38.1,0,2,HIGH
568.3,0.388,26.1,47.9,53.3,14.5,100.0,33.5,4.73,40.8,47.6,61.0,0,3,CRITICAL
579.9,0.119,3.5,40.4,43.2,17.9,14.8,5.6,-0.17,5.4,4.2,4.4,0,0,LOW
550.3,0.807,12.6,65.8,72.8,23.4,68.6,30.4,0.15,30.7,31.8,30.6,0,2,HIGH
551.8,0.772,9.2,56.5,60.9,22.7,43.2,20.5,-0.13,19.9,19.8,19.5,0,1,MODERATE
561.1,0.556,2.8,6.6,30.5,19.3,7.7,8.7,-0.13,8.4,7.7,6.8,0,0,LOW
577.5,0.174,8.2,39.3,46.3,21.5,30.9,8.5,0.06,8.8,9.1,9.4,0,0,LOW
567.8,0.4,1.3,7.4,25.4,11.5,5.0,8.7,0.19,8.6,10.2,8.1,0,0,LOW
556.1,0.672,0.5,38.5,52.9,10.8,4.3,11.4,-0.29,10.5,11.0,9.3,0,0,LOW
552.1,0.765,2.6,43.8,55.9,11.2,22.7,13.9,-0.35,13.0,12.1,11.6,0,0,LOW
555.5,0.686,59.4,169.4,100.0,10.9,100.0,32.2,7.59,43.9,55.8,74.7,0,3,CRITICAL
546.8,0.888,14.4,51.0,49.2,23.2,53.4,27.8,0.28,28.4,28.2,29.9,0,2,HIGH
568.6,0.381,60.8,87.4,82.8,17.4,100.0,32.2,7.37,43.6,54.2,75.1,0,3,CRITICAL
582.0,0.07,10.2,47.4,51.0,10.4,87.5,22.1,2.62,25.6,29.0,36.9,0,2,HIGH
583.2,0.042,6.7,53.5,62.2,10.2,71.5,20.5,0.08,20.1,20.4,22.5,0,1,MODERATE
579.8,0.121,12.7,44.2,56.1,21.4,58.3,14.4,0.18,14.8,15.8,17.1,0,1,MODERATE
584.6,0.009,10.4,42.7,59.2,24.4,44.2,11.3,0.26,11.4,11.8,13.0,0,0,LOW
548.3,0.853,2.0,6.4,24.4,24.5,3.5,12.5,-0.01,12.6,12.3,12.2,0,0,LOW
581.3,0.086,18.4,48.7,55.3,20.8,85.6,23.3,2.25,26.9,29.5,36.3,0,2,HIGH
553.5,0.733,4.4,38.7,58.5,19.9,22.6,15.9,-0.14,15.8,16.4,14.6,0,1,MODERATE
551.7,0.774,17.4,40.6,47.8,22.7,64.1,24.3,0.14,24.2,25.0,26.3,0,2,HIGH
545.1,0.928,18.9,44.3,47.3,23.5,66.6,26.9,0.04,27.0,26.4,25.6,0,2,HIGH
550.0,0.814,3.0,36.2,41.1,21.8,9.9,12.1,0.17,11.9,13.1,11.4,0,1,MODERATE
543.7,0.96,1.1,19.8,43.4,15.3,5.5,10.9,0.08,11.1,12.0,11.4,0,0,LOW
552.4,0.758,27.3,75.5,59.5,15.9,100.0,33.4,4.78,41.0,47.3,61.8,0,3,CRITICAL
583.2,0.042,11.1,48.0,59.1,24.9,46.1,13.4,0.41,14.0,15.3,17.1,0,1,MODERATE
545.8,0.912,1.1,26.1,41.5,12.5,6.4,10.8,0.19,10.8,11.7,13.3,0,0,LOW
576.3,0.202,94.9,253.9,100.0,17.8,100.0,25.9,9.29,39.8,52.8,80.1,0,3,CRITICAL
542.0,1.0,1.1,5.7,29.7,12.4,4.6,15.4,-0.05,15.0,15.1,16.8,0,1,MODERATE
546.3,0.9,21.4,81.9,64.4,15.3,100.0,39.3,5.64,47.8,57.0,72.8,0,3,CRITICAL
571.5,0.314,74.1,173.3,100.0,17.5,100.0,28.0,7.77,39.7,50.5,73.4,0,3,CRITICAL
555.5,0.686,4.9,39.4,49.1,20.6,20.4,11.9,0.03,11.5,11.1,13.8,0,0,LOW
556.6,0.66,2.8,25.8,49.1,19.1,12.6,10.4,-0.02,10.2,11.2,10.3,0,0,LOW
567.0,0.419,2.3,38.2,44.6,24.4,7.4,6.7,-0.32,5.8,5.8,3.6,0,0,LOW
574.4,0.247,6.5,11.6,36.8,19.2,21.8,9.6,0.11,10.1,9.4,10.8,0,0,LOW
548.7,0.844,1.9,14.1,36.8,14.2,8.6,11.5,-0.28,11.3,10.7,8.5,0,0,LOW
560.1,0.579,21.2,72.2,68.1,12.9,100.0,30.0,3.83,35.9,40.5,50.5,0,3,CRITICAL
550.9,0.793,1.2,39.0,53.4,13.3,8.4,10.4,0.05,10.5,11.3,9.3,0,0,LOW
579.7,0.123,12.8,49.1,45.4,21.7,46.9,12.0,-0.09,11.7,10.8,10.6,0,0,LOW
550.5,0.802,102.8,268.6,100.0,21.9,100.0,34.0,11.97,51.9,69.6,104.9,0,3,CRITICAL
546.1,0.905,30.3,67.7,55.3,10.3,100.0,34.8,6.08,43.8,53.8,70.7,0,3,CRITICAL
573.9,0.258,17.2,48.7,56.5,22.9,74.3,20.6,0.39,21.2,21.0,23.9,0,1,MODERATE
553.3,0.737,6.6,46.5,59.7,11.0,62.7,24.8,-0.17,24.6,24.9,22.7,0,2,HIGH
547.1,0.881,17.6,54.9,54.8,18.4,91.7,33.7,5.37,42.1,50.6,64.7,0,3,CRITICAL
574.4,0.247,13.5,50.8,59.4,23.9,58.7,16.1,0.18,16.3,16.4,16.4,0,1,MODERATE
554.3,0.714,10.0,34.4,50.3,16.6,53.0,22.4,0.39,23.2,23.8,23.5,0,2,HIGH
551.7,0.774,2.5,5.0,35.4,15.7,9.9,12.5,-0.27,11.8,11.0,12.3,0,0,LOW
547.1,0.881,39.2,71.4,60.0,16.2,100.0,34.4,7.08,44.9,55.9,76.2,0,3,CRITICAL
553.5,0.733,10.8,42.7,58.4,19.5,56.6,26.7,0.14,26.9,28.1,29.1,0,2,HIGH
568.6,0.381,3.9,46.5,46.2,13.6,23.2,10.2,0.17,10.0,10.9,11.8,0,0,LOW
553.3,0.737,8.3,26.2,37.9,12.0,45.9,24.1,0.36,25.1,26.1,25.1,0,2,HIGH
557.7,0.635,9.6,33.7,41.3,13.9,49.9,19.3,0.28,20.0,19.6,19.4,0,1,MODERATE
577.9,0.165,31.6,102.0,79.1,15.6,100.0,29.3,4.0,35.3,41.8,54.0,0,3,CRITICAL
566.2,0.437,23.8,52.0,55.1,18.8,100.0,33.6,4.69,40.4,48.2,62.2,0,3,CRITICAL
569.3,0.365,26.4,86.1,67.8,15.6,100.0,30.2,4.81,37.3,45.5,58.4,0,3,CRITICAL
563.6,0.498,0.2,3.1,25.7,14.2,0.6,4.6,-0.19,4.2,4.1,5.0,0,0,LOW
566.6,0.428,9.7,63.5,70.1,14.6,81.5,24.0,2.86,28.6,32.8,40.0,0,2,HIGH
582.4,0.06,11.8,40.9,57.3,12.7,93.2,27.1,1.95,30.0,33.9,37.1,0,2,HIGH
557.8,0.633,0.3,40.2,45.4,15.8,1.5,11.6,-0.22,11.8,11.8,10.9,0,0,LOW
567.1,0.416,5.4,44.5,61.1,22.2,26.0,11.3,-0.1,11.0,11.4,9.1,0,0,LOW
566.4,0.433,25.7,70.7,59.9,24.4,100.0,32.3,3.66,37.8,43.7,52.2,0,3,CRITICAL
582.4,0.06,2.7,43.6,44.6,11.8,17.9,5.4,-0.02,5.0,6.2,4.5,0,0,LOW
548.7,0.844,13.8,63.3,57.2,23.4,59.0,25.5,0.42,26.4,26.3,29.2,0,2,HIGH
570.0,0.349,4.4,12.0,35.9,19.6,14.1,6.7,0.08,7.1,6.0,7.3,0,0,LOW
576.3,0.202,0.2,33.3,41.1,16.7,0.9,3.4,-0.05,3.2,2.9,2.0,0,0,LOW
562.1,0.533,5.0,43.3,54.6,10.7,44.6,20.1,0.12,20.6,21.1,22.4,0,1,MODERATE
544.7,0.937,67.0,194.5,100.0,19.9,100.0,34.5,8.24,46.5,59.9,81.1,0,3,CRITICAL
547.5,0.872,29.1,62.1,64.3,24.2,100.0,34.2,5.05,41.6,50.3,64.2,0,3,CRITICAL
547.3,0.877,57.8,184.8,100.0,19.4,100.0,34.0,8.81,47.6,59.8,84.0,0,3,CRITICAL
568.8,0.377,12.0,27.3,49.2,12.6,82.0,27.3,3.3,31.9,37.7,47.7,0,3,CRITICAL
575.7,0.216,2.1,32.4,55.5,15.3,13.3,9.3,0.04,9.1,8.9,8.3,0,0,LOW
569.5,0.36,14.3,52.5,60.2,12.9,100.0,30.5,3.46,35.2,40.6,50.5,0,3,CRITICAL
571.8,0.307,10.9,61.9,66.6,13.4,94.8,26.7,2.78,30.9,36.0,42.7,0,3,CRITICAL
545.9,0.909,33.5,81.9,61.9,12.8,100.0,37.6,6.64,47.2,57.5,74.9,0,3,CRITICAL
578.7,0.147,1.9,7.4,33.5,12.3,9.1,3.0,0.02,3.5,4.0,2.1,0,0,LOW
583.4,0.037,12.1,52.9,50.1,11.3,93.9,27.1,2.56,31.3,34.6,42.7,0,2,HIGH
553.3,0.737,2.9,38.6,48.9,14.9,16.7,15.5,-0.26,14.8,15.7,13.0,0,1,MODERATE
571.7,0.309,7.1,48.3,62.5,17.6,44.1,16.5,0.19,16.6,18.1,17.0,0,1,MODERATE
584.6,0.009,24.1,84.6,76.6,20.0,100.0,27.2,3.74,32.5,39.3,48.6,0,3,CRITICAL
558.2,0.623,11.6,53.9,66.8,13.2,100.0,34.4,4.34,40.7,48.2,60.6,0,3,CRITICAL
